101,Rok,Cislo,Strana
001594938,1943,520,9
001594958,1941,452,9
001594961,1929,103,4
001594969,1949,602,7
001594970,1949,333,3
001594971,1949,474,7
001594974,1945,232,7
001594975,1947,353,4
001594976,1945,183,7
001594977,1945,170,7
001594978,1945,196,7
001594979,1945,199,7
001594980,1945,220,7
001594981,1945,220,7
001594982,1945,209,7
001594983,1945,245,7
001595009,1945,142,9
001595011,1950,94,6
001595024,1936,338,7
001595029,1904,53,2
001595039,1946,279,7
001595040,1946,6,7
001595041,1941,241,11
001595042,1941,627,9
001595043,1941,585,9
001595053,1936,289,7
001595069,1948,502,7
001595076,1934,647,9
001595079,1938,170,9
001595081,1919,168,1
001595091,1945,122,2
001595102,1936,48,7
001595111,1918,302,2
001595118,1947,224,5
001595121,1943,591,5
001595139,1943,589,2
001595151,1934,549,9
001595154,1938,157,9
001595192,1944,439,9
001595216,1936,212,7
001595233,1943,282,9
001595276,1936,322,7
001595403,1949,493,7
001595430,1939,529,7
001595436,1939,609,9
001595521,1949,137,9
001595522,1919,242,7
001595526,1945,539,7
001595528,1935,565,1
001595571,1943,64,9
001595573,1934,182,1
001595690,1938,551,10
001595784,1948,197,7
001595785,1948,217,7
001595811,1945,508,9
001595942,1946,70,7
001595943,1946,180,9
001595944,1946,115,9
001595946,1945,508,9
001595947,1942,494,9
001595948,1933,86,7
001596013,1909,284,1
001596109,1951,115,4
001596110,1951,111,4
001596111,1951,249,4
001596112,1951,246,4
001596113,1901,191,3
001596114,1951,184,3
001596147,1951,143,3
001596251,1952,69,4
001596252,1952,56,4
001596253,1952,20,4
001596254,1952,11,4
001596255,1952,5,3
001596256,1952,344,3
001596257,1952,210,4
001596259,1951,152,4
001596260,1951,104,4
001596263,1952,240,4
001596264,1952,215,4
001596265,1952,84,4
001596266,1952,268,4
001596267,1952,298,4
001596276,1943,343,9
001596319,1946,256,9
001596324,1944,84,1
001596371,1909,66,3
001596372,1909,261,3
001596374,1917,82,1
001596375,1942,78,9
001596379,1939,14,1
001596380,1939,388,7
001596381,1939,537,3
001596391,1945,58,9
001596410,1950,368,4
001596421,1939,392,7
001596426,1949,92,7
001596437,1944,646,2
001596439,1946,637,4
001596540,1945,358,7
001596541,1945,316,7
001596542,1945,362,7
001596543,1945,647,9
001596544,1945,459,9
001596545,1945,397,7
001596546,1945,453,7
001596547,1945,371,7
001596548,1945,551,7
001596549,1945,377,7
001596550,1945,641,7
001596551,1945,320,10
001596552,1945,323,7
001596553,1945,399,7
001596554,1945,630,9
001596555,1945,500,7
001596556,1945,457,3
001596557,1945,405,7
001596558,1945,526,7
001596559,1945,431,7
001596560,1945,532,7
001596566,1950,109,2
001596567,1950,248,4
001596589,1932,58,7
001596620,1945,349,5
001596681,1938,242,2
001596689,1941,562,2
001596704,1939,49,7
001596781,1936,560,9
001596782,1936,553,5
001596783,1936,641,7
001596794,1950,331,4
001596810,1936,351,7
001596811,1936,368,2
001596812,1936,410,9
001596814,1936,242,7
001596815,1936,271,5
001596841,1943,526,9
001596843,1945,45,9
001596864,1938,218,7
001596892,1935,172,7
001596903,1948,513,7
001596911,1941,18,9
001596932,1943,83,3
001596933,1937,521,7
001596934,1937,628,9
001596937,1947,18,7
001596993,1947,87,5
001596994,1919,280,1
001597003,1947,157,4
001597021,1943,575,9
001597022,1945,88,4
001597059,1941,611,10
001597061,1941,150,9
001597083,1945,634,2
001597084,1945,599,2
001597085,1945,553,3
001597086,1945,545,3
001597087,1945,564,5
001597088,1945,509,2
001597089,1945,457,7
001597090,1945,421,3
001597093,1950,283,4
001597094,1950,83,7
001597095,1950,228,2
001597096,1950,550,4
001597097,1950,608,4
001597123,1946,35,7
001597124,1946,89,7
001597125,1946,261,7
001597127,1946,650,4
001597137,1928,1,7
001597144,1950,57,1
001597145,1950,70,3
001597146,1950,148,3
001597147,1950,185,185
001597148,1950,248,3
001597149,1950,524,4
001597150,1950,536,4
001597151,1950,542,4
001597152,1950,56,2
001597153,1950,216,6
001597154,1950,519,2
001597155,1950,533,2
001597156,1950,555,2
001597157,1950,606,3
001597158,1950,222,6
001597159,1950,198,3
001597160,1950,379,4
001597161,1950,596,4
001597184,1948,561,4
001597238,1936,337,1
001597308,1944,593,9
001597310,1928,429,9
001597341,1945,470,9
001597342,1945,349,7
001597367,1941,152,7
001597418,1945,10,7
001597419,1945,289,7
001597442,1943,371,7
001597445,1937,514,17
001597446,1937,503,9
001597452,1915,275,17
001597459,1946,581,6
001597477,1937,525,9
001597478,1943,109,9
001597479,1943,98,9
001597480,1934,71,7
001597483,1933,458,7
001597484,1941,128,8
001597527,1935,493,7
001597534,1909,24,9
001597535,1909,173,3
001597546,1928,81,9
001597547,1918,217,5
001597554,1947,273,4
001597556,1947,350,3
001597557,1947,494,7
001597565,1939,588,5
001597581,1938,628,10
001597625,1947,63,7
001597754,1944,128,9
001597755,1936,491,8
001597789,1945,66,9
001597794,1939,344,1
001597824,1937,108,7
001597825,1947,588,5
001597826,1943,601,1
001597827,1943,31,7
001597828,1935,656,7
001597838,1935,639,10
001597853,1946,252,7
001597866,1939,604,3
001597875,1941,326,4
001597880,1937,602,9
001597899,1945,360,2
001597908,1948,120,7
001597914,1947,328,2
001597923,1939,340,5
001597930,1944,3,9
001597960,1947,191,7
001597961,1945,132,5
001597963,1935,541,7
001598001,1936,48,7
001598010,1902,227,2
001598011,1947,294,2
001598013,1945,318,7
001598014,1947,187,2
001598034,1936,76,8
001598035,1936,122,8
001598039,1943,422,9
001598040,1943,610,9
001598045,1936,386,7
001598075,1917,193,1
001598086,1946,322,7
001598087,1946,128,9
001598090,1944,622,9
001598112,1939,535,9
001598113,1939,446,9
001598124,1945,153,9
001598125,1945,27,9
001598161,1941,154,7
001598162,1945,1,9
001598170,1920,108,3
001598230,1946,290,7
001598231,1941,156,9
001598232,1939,366,9
001598235,1901,24,2
001598238,1941,642,9
001598246,1942,646,6
001598247,1941,1,67
001598255,1945,306,2
001598273,1943,62,5
001598330,1948,249,4
001598333,1948,189,4
001598334,1948,188,9
001598335,1948,225,4
001598336,1948,225,3
001598337,1903,104,2
001598338,1948,257,7
001598339,1948,248,9
001598340,1945,116,7
001598392,1944,1,1
001598406,1919,161,1
001598559,1935,453,1
001598593,1939,68,10
001598596,1947,229,4
001598601,1942,117,9
001598602,1942,80,9
001598603,1903,53,2
001598604,1948,329,7
001598605,1948,288,4
001598606,1948,176,4
001598649,1945,214,9
001598651,1938,185,9
001598652,1938,44,9
001598653,1938,310,2
001598697,1946,20,7
001598699,1946,279,7
001598700,1946,70,7
001598703,1945,1,10
001598724,1945,243,9
001598727,1936,569,7
001598743,1939,617,9
001598757,1943,634,9
001598768,1943,200,9
001598769,1941,487,9
001598770,1941,485,9
001598771,1943,213,9
001598772,1943,560,9
001598773,1947,40,4
001598789,1951,37,3
001598790,1951,10,4
001598799,1903,60,3
001598806,1937,635,7
001598837,1938,18,11
001598838,1947,628,7
001598849,1934,647,9
001598867,1936,610,9
001598880,1948,337,7
001598891,1939,314,9
001598894,1902,278,2
001598896,1947,616,7
001598901,1937,503,9
001598902,1943,304,9
001598910,1946,122,7
001598911,1946,588,7
001598912,1946,35,7
001598918,1935,630,7
001598924,1939,327,9
001598929,1945,49,9
001598930,1945,261,7
001598955,1944,124,5
001598956,1944,115,9
001598964,1944,188,10
001598973,1943,630,10
001598974,1944,519,9
001599067,1938,55,9
001599071,1944,426,9
001599081,1936,362,7
001599095,1938,653,5
001599098,1916,24,345
001599126,1938,68,9
001599128,1939,4,7
001599136,1936,212,7
001599137,1936,210,7
001599138,1936,216,7
001599142,1936,503,7
001599145,1924,236,NaN
001599183,1939,368,9
001599184,1939,351,9
001599190,1938,122,9
001599198,1945,52,3
001599210,1946,13,9
001599214,1936,619,7
001599226,1944,132,9
001599227,1935,72,9
001599269,1936,571,9
001599275,1933,204,7
001599278,1947,224,2
001599280,1946,361,7
001599281,1944,615,9
001599286,1941,224,9
001599289,1943,7,NaN
001599290,1943,376,7
001599302,1945,340,7
001599303,1945,261,7
001599304,1945,194,9
001599305,1945,153,9
001599306,1944,478,9
001599307,1943,625,9
001599308,1943,539,10
001599325,1943,309,9
001599336,1945,568,7
001599337,1945,504,9
001599371,1946,204,7
001599372,1944,91,1
001599386,1941,299,9
001599387,1941,261,9
001599388,1941,646,7
001599470,1936,377,9
001599471,1936,317,7
001599474,1936,87,7
001599479,1938,116,7
001599480,1936,628,7
001599481,1936,628,7
001599482,1938,116,7
001599483,1936,163,7
001599502,1945,394,9
001599503,1945,647,10
001599504,1945,536,10
001599505,1945,523,10
001599507,1945,49,9
001599508,1945,36,9
001599509,1945,2,7
001599523,1946,598,9
001599598,1946,48,7
001599603,1946,70,7
001599609,1939,588,9
001599612,1947,522,7
001599637,1933,208,9
001599644,1935,592,7
001599658,1944,502,9
001599662,1941,135,9
001599673,1938,514,9
001599674,1938,510,7
001599682,1950,174,2
001599683,1951,148,5
001599688,1935,539,7
001599712,1944,400,9
001599718,1944,500,9
001599757,1945,347,7
001599758,1945,534,9
001599759,1945,581,7
001599809,1945,167,4
001599810,1945,136,9
001599811,1945,134,5
001599812,1945,127,7
001599813,1945,118,9
001599814,1945,108,4
001599817,1945,120,9
001599818,1938,454,9
001599819,1938,31,9
001599820,1938,53,9
001599821,1938,499,9
001599824,1910,191,1
001599837,1946,26,5
001599838,1944,524,6
001599839,1948,482,1
001599840,1948,456,1
001599870,1943,416,9
001599871,1943,369,9
001599872,1943,333,9
001599873,1937,21,10
001599874,1937,108,9
001599875,1937,499,9
001599877,1947,376,9
001599878,1947,368,7
001599879,1947,344,7
001599880,1947,333,7
001599881,1947,228,9
001599882,1947,222,7
001599886,1948,188,9
001599897,1948,612,1
001599905,1947,607,1
001599910,1939,338,9
001599911,1940,62,9
001599912,1937,346,7
001599913,1947,170,4
001599918,1948,457,4
001599921,1948,305,7
001599922,1942,618,10
001599924,1948,193,7
001599925,1944,28,7
001599926,1944,330,9
001599927,1944,354,9
001599928,1944,384,9
001599929,1944,22,9
001599932,1946,592,7
001599933,1946,545,7
001599934,1946,59,7
001599935,1943,299,9
001599936,1943,290,9
001599937,1943,266,6
001599938,1943,244,7
001599939,1943,237,9
001599940,1943,224,9
001599941,1943,135,9
001599942,1943,205,6
001599943,1943,25,7
001599944,1943,23,6
001599945,1934,472,7
001599946,1934,29,7
001599947,1949,155,7
001599948,1949,99,4
001599949,1949,38,7
001599950,1949,3,7
001599951,1943,132,2
001599952,1943,10,6
001599986,1947,588,7
001599987,1947,553,7
001599990,1947,543,5
001599996,1939,342,9
001599997,1939,621,9
001600024,1945,171,6
001600025,1945,168,9
001600027,1939,583,9
001600028,1939,344,9
001600029,1938,155,7
001600030,1938,168,7
001600034,1937,45,7
001600035,1945,312,7
001600036,1945,308,6
001600037,1945,180,4
001600054,1941,133,9
001600056,1935,344,9
001600062,1945,32,10
001600065,1947,620,4
001600081,1939,651,9
001600082,1939,36,7
001600085,1943,650,5
001600097,1943,562,9
001600099,1947,471,7
001600102,1936,518,7
001600104,1936,532,1
001600105,1936,504,7
001600106,1942,595,5
001600115,1938,270,7
001600155,1938,146,9
001600157,1936,501,7
001600164,1947,213,7
001600173,1947,187,7
001600174,1947,169,9
001600175,1947,183,4
001600176,1902,13,3
001600177,1947,27,4
001600180,1941,68,7
001600181,1941,50,9
001600185,1941,91,10
001600186,1941,1,68
001600198,1938,595,9
001600199,1938,558,9
001600200,1938,469,7
001600213,1947,202,NaN
001600238,1935,381,9
001600285,1909,241,6
001600291,1940,410,9
001600293,1909,247,6
001600356,1946,649,9
001600357,1944,591,9
001600361,1944,384,9
001600462,1918,298,2
001600465,1939,396,9
001600494,1919,52,1
001600521,1911,243,6
001600533,1912,211,6
001600541,1935,639,9
001600672,1943,292,2
001600694,1943,453,5
001600735,1945,403,7
001600866,1943,369,9
001600867,1943,565,9
001600874,1943,367,9
001600914,1918,298,2
001600982,1936,366,7
001601033,1915,2,1
001601047,1938,377,7
001601145,1943,472,9
001601152,1946,230,31
001601154,1935,500,7
001601156,1901,63,2
001601158,1924,219,1
001601159,1947,275,2
001601185,1941,501,7
001601186,1944,473,9
001601187,1943,198,9
001601188,1943,395,9
001601214,1947,607,8
001601215,1945,536,9
001601216,1944,474,5
001601217,1943,554,9
001601218,1943,526,7
001601219,1941,104,10
001601220,1944,84,12
001601221,1944,439,7
001601222,1938,591,3
001601224,1936,288,7
001601225,1947,87,5
001601226,1937,501,9
001601227,1939,55,7
001601228,1939,44,7
001601229,1939,44,1
001601230,1939,70,9
001601231,1939,43,1
001601232,1946,588,4
001601233,1935,547,9
001601234,1935,603,7
001601235,1945,310,7
001601236,1936,621,6
001601237,1936,548,68
001601238,1936,589,5
001601239,1938,33,9
001601275,1947,228,4
001601286,1944,478,9
001601292,1945,527,3
001601310,1901,219,2
001601311,1946,457,9
001601319,1936,443,7
001601320,1936,450,7
001601327,1936,516,7
001601335,1936,210,7
001601336,1936,228,1
001601337,1936,269,9
001601343,1947,117,9
001601365,1946,335,9
001601367,1948,457,4
001601368,1948,457,4
001601369,1948,74,9
001601373,1935,545,1
001601382,1935,344,9
001601383,1935,579,7
001601389,1936,37,9
001601391,1936,555,7
001601392,1936,655,1
001601393,1936,654,7
001601394,1936,623,20
001601395,1936,566,1
001601396,1936,602,7
001601397,1936,564,1
001601400,1936,546,9
001601401,1938,361,7
001601402,1947,451,7
001601403,1947,440,9
001601407,1938,577,9
001601408,1938,482,9
001601414,1938,626,10
001601417,1939,551,7
001601418,1941,531,9
001601438,1946,489,6
001601440,1945,271,7
001601441,1945,190,9
001601442,1945,134,5
001601443,1945,94,9
001601444,1945,172,2
001601445,1945,120,9
001601446,1945,141,4
001601453,1947,586,7
001601454,1947,607,5
001601455,1947,307,7
001601456,1902,142,2
001601457,1947,325,7
001601465,1929,467,7
001601470,1947,556,4
001601471,1902,252,3
001601475,1919,267,2
001601476,1909,169,3
001601477,1909,24,9
001601521,1938,174,13
001601526,1935,654,7
001601673,1950,79,7
001601681,1943,299,9
001601682,1943,205,6
001601683,1949,73,4
001601687,1943,190,2
001601709,1909,210,1
001601711,1937,215,17
001601720,1947,466,10
001601721,1947,491,9
001601722,1947,489,7
001601723,1902,218,3
001601724,1947,479,3
001601725,1947,502,7
001601734,1947,518,3
001601735,1947,193,10
001601797,1903,15,3
001601798,1903,14,3
001601799,1946,566,7
001601801,1948,301,4
001601802,1939,407,10
001601804,1939,423,9
001601805,1939,453,9
001601806,1939,475,9
001601807,1901,39,2
001601808,1939,381,9
001601809,1939,276,7
001601810,1939,250,9
001601813,1939,459,10
001601893,1947,300,7
001601898,1945,69,4
001601899,1937,79,9
001601905,1918,56,2
001601917,1918,69,1
001602036,1928,482,7
001602057,1936,35,7
001602066,1945,466,9
001602076,1945,639,7
001602086,1936,76,8
001602138,1946,245,9
001602141,1948,96,7
001602145,1948,92,7
001602161,1946,169,10
001602162,1946,135,7
001602178,1942,3,7
001602187,1903,3,3
001602192,1917,350,4
001602193,1917,159,1
001602195,1919,1,3
001602197,1917,292,4
001602201,1901,101,2
001602202,1935,550,7
001602203,1935,553,7
001602204,1935,553,7
001602205,1946,294,9
001602206,1901,153,2
001602207,1938,46,7
001602208,1938,441,7
001602209,1938,407,7
001602233,1938,64,9
001602272,1938,189,9
001602276,1938,577,9
001602279,1924,269,1
001602293,1938,562,9
001602297,1947,218,4
001602335,1939,23,5
001602336,1939,410,7
001602337,1948,422,7
001602338,1948,139,3
001602339,1939,23,5
001602374,1949,137,9
001602388,1943,645,4
001602405,1938,75,7
001602451,1936,380,4
001602457,1938,9,7
001602458,1938,2,7
001602461,1948,3,7
001602466,1951,182,5
001602489,1935,253,7
001602546,1936,309,7
001602558,1938,66,9
001602592,1938,569,9
001602593,1947,396,1
001602594,1902,86,3
001602595,1902,86,3
001602596,1939,68,10
001602601,1944,497,1
001602605,1951,179,4
001602616,1939,623,9
001602617,1939,431,9
001602618,1939,60,9
001602619,1945,198,2
001602620,1945,68,10
001602621,1945,14,7
001602622,1943,640,10
001602623,1943,463,9
001602626,1946,624,3
001602627,1944,629,9
001602686,1947,630,7
001602696,1935,583,3
001602697,1935,126,7
001602698,1946,189,7
001602701,1950,129,3
001602714,1901,135,2
001602716,1946,475,7
001602717,1901,228,2
001602719,1935,150,13
001602723,1924,74,1
001602750,1943,608,4
001602753,1947,622,7
001602799,1902,116,3
001602802,1939,459,9
001602803,1935,601,7
001602805,1947,79,3
001602854,1946,406,9
001602857,1946,286,5
001602858,1946,96,7
001602861,1901,130,2
001602862,1946,636,9
001602865,1939,527,9
001602867,1945,311,4
001602869,1947,605,7
001602876,1938,49,8
001602878,1947,178,7
001602879,1947,102,7
001602881,1947,292,7
001602882,1947,260,7
001602909,1935,596,9
001602910,1935,570,9
001603083,1919,328,2
001603106,1941,167,9
001603154,1943,511,2
001603155,1943,516,2
001603156,1943,537,1
001603183,1932,497,7
001603220,1901,24,1
001603221,1946,332,4
001603222,1946,329,5
001603223,1946,329,5
001603224,1946,327,7
001603225,1946,327,5
001603226,1946,327,2
001603227,1946,325,7
001603228,1946,324,7
001603229,1946,324,7
001603230,1946,324,5
001603231,1946,325,7
001603232,1946,327,7
001603233,1901,161,2
001603261,1928,578,9
001603277,1935,150,14
001603287,1951,278,5
001603288,1929,463,7
001603293,1932,392,7
001603294,1932,154,7
001603295,1934,167,1
001603322,1948,370,7
001603344,1945,601,9
001603347,1946,292,1
001603348,1946,322,5
001603349,1946,319,1
001603350,1946,302,7
001603351,1901,163,2
001603352,1901,70,2
001603354,1941,146,9
001603355,1941,143,7
001603356,1941,128,5
001603369,1949,7,5
001603370,1904,128,2
001603371,1943,155,9
001603372,1943,244,7
001603373,1947,94,7
001603375,1943,176,7
001603397,1943,289,2
001603399,1934,268,7
001603401,1945,259,7
001603406,1940,95,3
001603414,1945,310,7
001603415,1946,586,4
001603416,1946,599,4
001603417,1946,268,7
001603442,1939,313,3
001603444,1938,314,7
001603445,1946,320,4
001603446,1945,320,6
001603449,1946,596,7
001603453,1919,200,1
001603454,1919,304,1
001603455,1918,56,1
001603479,1919,317,1
001603482,1919,45,1
001603548,1946,169,9
001603557,1929,80,4
001603558,1929,69,9
001603565,1939,649,9
001603566,1939,379,7
001603570,1919,57,1
001603571,1919,64,1
001603580,1946,176,7
001603581,1946,207,5
001603582,1946,219,12
001603583,1946,170,6
001603585,1947,53,5
001603641,1939,507,9
001603642,1936,319,9
001603650,1924,43,2
001603675,1944,106,9
001603677,1948,374,7
001603704,1918,171,5
001603705,1919,302,2
001603706,1918,156,1
001603707,1947,128,7
001603778,1938,275,9
001603784,1944,642,9
001603866,1948,72,7
001603872,1935,130,9
001603873,1946,116,2
001603874,1946,109,7
001603881,1947,14,5
001603894,1921,128,3
001603965,1939,161,1
001603976,1939,70,1
001603977,1903,86,2
001603980,1903,108,3
001603985,1938,133,2
001603986,1938,275,7
001603987,1938,235,7
001604117,1946,16,7
001604125,1904,131,2
001604126,1939,592,9
001604127,1935,521,7
001604214,1938,142,5
001604272,1948,40,7
001604275,1946,543,2
001604276,1903,251,2
001604281,1927,289,3
001604283,1947,445,7
001604284,1947,511,7
001604292,1949,7,9
001604294,1938,478,4
001604300,1909,149,1
001604304,1936,317,7
001604305,1936,484,9
001604319,1917,191,4
001604337,1929,630,7
001604338,1946,157,5
001604340,1936,53,2
001604342,1936,590,2
001604343,1944,86,2
001604344,1944,74,7
001604388,1936,397,7
001604389,1944,48,9
001604390,1944,39,9
001604391,1944,123,8
001604392,1947,131,5
001604395,1949,88,5
001604396,1937,179,2
001604402,1938,133,7
001604407,1944,475,2
001604416,1933,9,7
001604417,1933,23,7
001604418,1928,358,10
001604419,1928,427,9
001604420,1933,647,7
001604421,1933,356,7
001604422,1947,318,3
001604423,1947,292,5
001604424,1947,290,2
001604457,1939,81,10
001604893,1936,457,4
001604904,1917,111,4
001604911,1945,36,9
001604921,1949,213,9
001604929,1947,491,9
001604930,1947,646,3
001604931,1902,288,3
001604965,1947,633,3
001604967,1939,462,9
001604968,1939,464,9
001604978,1941,495,9
001604979,1941,627,10
001604980,1941,640,10
001604981,1943,549,9
001605128,1902,107,3
001605132,1948,415,7
001605137,1939,609,9
001605141,1944,504,9
001605142,1944,121,7
001605149,1938,588,7
001605155,1948,145,7
001605156,1944,132,7
001605157,1944,165,9
001605158,1944,523,7
001605159,1944,521,9
001605160,1945,173,10
001605161,1947,109,7
001605162,1939,568,5
001605166,1944,123,10
001605190,1932,644,9
001605191,1939,549,7
001605192,1948,167,8
001605194,1945,575,7
001605196,1917,146,4
001605212,1941,559,9
001605316,1936,143,8
001605388,1939,66,9
001605396,1938,551,1
001605397,1938,515,5
001605402,1942,163,1
001605585,1934,656,7
001605655,1946,243,9
001605656,1901,127,2
001605701,1901,131,2
001605713,1940,194,9
001605736,1942,586,9
001605746,1944,215,7
001605748,1935,641,10
001605767,1945,27,9
001605803,1938,179,9
001605829,1939,96,9
001605848,1937,575,9
001605856,1941,327,10
001605912,1938,398,9
001605913,1938,396,9
001605914,1938,235,9
001605915,1944,432,9
001605924,1939,429,9
001605934,1944,139,9
001605946,1934,112,7
001605958,1944,89,9
001605960,1943,14,9
001605998,1915,62,2
001606000,1947,284,7
001606001,1947,262,5
001606002,1947,260,7
001606003,1947,220,7
001606004,1902,98,2
001606005,1947,204,10
001606006,1902,149,2
001606029,1946,562,7
001606033,1939,499,7
001606035,1939,181,5
001606036,1939,379,9
001606038,1946,16,7
001606059,1935,111,7
001606127,1935,85,7
001606128,1935,603,7
001606129,1935,488,7
001606130,1935,491,7
001606131,1935,383,7
001606132,1935,409,7
001606133,1935,440,7
001606134,1905,301,5
001606135,1935,233,9
001606136,1935,195,7
001606137,1944,65,9
001606138,1943,619,9
001606139,1945,209,9
001606140,1945,113,2
001606141,1945,88,9
001606142,1947,63,7
001606143,1947,169,9
001606144,1947,113,7
001606146,1943,378,9
001606147,1943,308,9
001606148,1934,523,10
001606149,1934,310,9
001606150,1934,270,9
001606151,1934,256,7
001606152,1934,214,7
001606153,1934,71,7
001606154,1932,504,NaN
001606155,1937,562,9
001606156,1937,213,7
001606157,1937,151,10
001606168,1938,551,9
001606169,1938,614,9
001606170,1938,628,10
001606171,1938,490,9
001606268,1951,148,4
001606309,1936,634,7
001606316,1936,111,7
001606331,1938,137,9
001606333,1938,142,5
001606334,1938,166,7
001606335,1938,183,7
001606336,1938,70,9
001606337,1938,79,9
001606338,1938,111,5
001606340,1920,134,3
001606385,1951,342,3
001606386,1951,348,1
001606453,1943,580,7
001606454,1943,614,7
001606455,1941,204,9
001606456,1941,156,10
001606457,1941,572,9
001606482,1940,247,6
001606483,1940,250,7
001606493,1933,79,7
001606494,1918,62,5
001606497,1951,137,4
001606498,1951,245,5
001606557,1936,227,7
001606558,1940,222,10
001606559,1936,491,8
001606560,1909,130,1
001606561,1936,366,7
001606579,1933,217,9
001606580,1919,48,1
001606581,1933,356,7
001606585,1918,226,1
001606627,1941,615,9
001606633,1949,550,7
001606662,1945,304,2
001606736,1939,647,7
001606746,1942,440,7
001606752,1947,120,7
001606789,1941,481,2
001606790,1941,484,3
001606829,1934,287,7
001606830,1943,9,7
001606836,1950,368,4
001606837,1951,112,4
001606839,1935,342,7
001606848,1946,133,7
001606851,1947,113,7
001606857,1938,545,10
001606860,1947,555,10
001606861,1947,562,7
001606865,1938,309,7
001606866,1938,211,9
001606867,1938,62,7
001606870,1939,507,9
001606871,1948,210,7
001606872,1948,521,10
001606874,1948,365,11
001606987,1939,531,7
001606988,1939,529,7
001607003,1941,344,2
001607013,1939,527,9
001607014,1939,181,7
001607015,1949,255,7
001607017,1949,300,7
001607018,1932,115,3
001607020,1945,55,10
001607021,1945,207,9
001607057,1950,99,7
001607058,1950,449,2
001607060,1945,641,7
001607061,1951,239,4
001607064,1951,292,4
001607068,1952,260,4
001607071,1950,145,2
001607075,1945,634,9
001607087,1950,337,2
001607102,1941,654,10
001607105,1950,198,2
001607112,1943,520,9
001607113,1943,513,9
001607118,1928,71,10
001607124,1939,577,9
001607128,1945,553,7
001607150,1945,617,5
001607154,1945,592,7
001607198,1940,556,9
001607199,1940,460,9
001607200,1940,212,7
001607201,1940,190,7
001607202,1940,186,9
001607203,1940,121,3
001607215,1950,92,6
001607232,1945,634,9
001607253,1945,375,7
001607254,1950,14,7
001607255,1952,339,5
001607257,1950,353,4
001607259,1952,137,2
001607262,1950,66,7
001607275,1947,235,4
001607276,1947,260,7
001607277,1945,515,7
001607288,1952,316,2
001607289,1945,318,4
001607321,1951,262,4
001607381,1945,561,2
001607382,1945,570,7
001607436,1952,149,3
001607440,1937,45,10
001607443,1950,164,7
001607458,1945,377,7
001607462,1952,289,4
001607464,1950,211,6
001607473,1950,132,2
001607476,1945,544,2
001607491,1945,600,2
001607492,1950,351,2
001607493,1950,353,2
001607553,1945,601,7
001607554,1945,567,2
001607555,1945,541,7
001607556,1945,523,4
001607557,1945,510,7
001607558,1945,489,5
001607560,1945,508,7
001607561,1945,488,7
001607562,1945,466,9
001607563,1945,458,6
001607564,1945,440,5
001607575,1952,75,3
001607597,1950,392,5
001607598,1950,205,3
001607613,1945,647,9
001607614,1945,497,9
001607617,1950,25,3
001607622,1945,513,5
001607675,1950,4,2
001607677,1951,302,4
001607683,1952,247,4
001607684,1950,101,6
001607698,1950,624,4
001607731,1945,381,10
001607735,1950,63,2
001607772,1951,105,4
001607781,1952,9,3
001607789,1950,261,4
001607791,1945,466,9
001607799,1952,190,4
001607800,1952,154,4
001607801,1951,92,4
001607808,1938,200,7
001607836,1943,118,4
001607837,1943,144,9
001607838,1943,176,9
001607842,1947,167,7
001607851,1945,250,7
001607854,1937,67,7
001607855,1937,334,7
001607856,1949,51,7
001607859,1952,285,3
001607864,1951,94,4
001607879,1945,621,9
001607896,1945,208,9
001607897,1945,401,7
001607926,1945,645,5
001607927,1945,650,4
001607928,1945,598,7
001607929,1945,576,2
001607930,1945,449,7
001607931,1945,318,5
001607932,1945,316,5
001607983,1950,177,7
001607984,1950,105,6
001607995,1950,109,2
001607997,1950,23,7
001608003,1951,138,4
001608004,1950,5,7
001608016,1950,167,2
001608042,1904,82,2
001608043,1904,167,2
001608044,1945,56,3
001608045,1902,24,3
001608047,1947,244,7
001608061,1950,96,5
001608075,1950,16,7
001608082,1950,458,4
001608085,1945,494,4
001608086,1950,605,1
001608095,1945,397,4
001608100,1945,328,7
001608115,1951,80,5
001608130,1951,232,4
001608140,1945,403,4
001608141,1950,396,3
001608144,1945,521,7
001608145,1945,528,4
001608146,1951,322,4
001608150,1938,208,2
001608151,1938,194,5
001608152,1938,192,9
001608169,1950,620,5
001608207,1950,294,4
001608208,1945,581,7
001608212,1950,190,5
001608213,1952,126,1
001608216,1950,125,7
001608222,1945,652,5
001608225,1945,324,7
001608227,1951,118,4
001608237,1950,458,5
001608240,1945,543,8
001608248,1952,204,4
001608249,1950,582,4
001608250,1945,543,9
001608286,1950,21,7
001608293,1945,523,10
001608303,1950,44,7
001608310,1950,57,7
001608361,1945,619,7
001608373,1950,210,2
001608377,1951,292,4
001608379,1945,420,6
001608380,1945,392,5
001608435,1939,420,9
001608450,1939,88,9
001608451,1939,357,1
001608452,1939,4,7
001608536,1939,2,2
001608537,1948,604,7
001608538,1948,16,7
001608596,1950,290,4
001608619,1942,619,5
001608620,1942,616,9
001608621,1942,235,7
001608622,1942,632,9
001608653,1945,353,7
001608669,1952,86,3
001608670,1951,152,4
001608671,1952,343,4
001608696,1950,598,2
001608698,1952,248,3
001608706,1952,197,4
001608707,1952,242,4
001608724,1950,22,2
001608726,1952,246,3
001608727,1951,318,6
001608733,1952,96,3
001608764,1950,125,7
001608790,1952,194,4
001608797,1945,539,5
001608867,1951,92,4
001608995,1938,151,2
001609092,1941,6,7
