,101,Rok,Cislo,Strana,URL
33,1584180,1939,533.0,10.0,https://www.ndk.cz/view/uuid:0ed0f700-53d8-11dd-90a4-000d606f5dc6?page=uuid:bbde5449-7d14-406b-bf55-f3f97fb76710
34,1584419,1938,271.0,5.0,https://www.ndk.cz/view/uuid:736f78c0-83fe-11dd-81da-000d606f5dc6?page=uuid:061e687c-3ea4-47d5-b294-a861464326b0
35,1584468,1941,618.0,1.0,https://www.ndk.cz/view/uuid:6a9bb200-6a1c-11dd-ab44-000d606f5dc6?page=uuid:05c424cd-1b8c-4c17-a4ff-d9c4b319b8ec
36,1584475,1941,322.0,9.0,https://www.ndk.cz/view/uuid:23ec1700-6deb-11dd-826b-000d606f5dc6?page=uuid:35f69f42-ea5e-4e11-8d4c-598f8a8619d5
37,1631572,1941,322.0,9.0,https://www.ndk.cz/view/uuid:23ec1700-6deb-11dd-826b-000d606f5dc6?page=uuid:35f69f42-ea5e-4e11-8d4c-598f8a8619d5
38,1584681,1939,465.0,2.0,https://www.ndk.cz/view/uuid:0ea44d40-53ce-11dd-9217-000d606f5dc6?page=uuid:a9407e56-0ada-4a57-a6f0-745bd0a94271
39,1638827,1939,465.0,2.0,https://www.ndk.cz/view/uuid:0ea44d40-53ce-11dd-9217-000d606f5dc6?page=uuid:a9407e56-0ada-4a57-a6f0-745bd0a94271
40,1585151,1903,24.0,3.0,https://www.ndk.cz/view/uuid:b7a4c069-435d-11dd-b505-00145e5790ea?page=uuid:0f18499d-f8be-4de7-8a5a-1c8725568304
41,1585632,1917,1.0,4.0,https://www.ndk.cz/view/uuid:f7e17920-5d2e-11dc-98e2-0013e6840575?page=uuid:3d3d214e-b790-49c8-87c7-5760ce906394
42,1585833,1943,187.0,9.0,https://www.ndk.cz/view/uuid:76b65830-735c-11dd-9c00-000d606f5dc6?page=uuid:40c338a9-05b5-4c0f-b591-1a252f0afd30
43,1585833,1943,187.0,9.0,https://www.ndk.cz/view/uuid:546e8ea0-735c-11dd-816a-000d606f5dc6?page=uuid:6bca278f-4b63-4e6c-a6db-387395e42c61
44,1585944,1909,226.0,7.0,https://www.ndk.cz/view/uuid:c0ec8b1e-435d-11dd-b505-00145e5790ea?page=uuid:0fa1a981-8be1-4796-b590-efb11ae8e811
45,1585978,1909,113.0,2.0,https://www.ndk.cz/view/uuid:c0fa94f0-435d-11dd-b505-00145e5790ea?page=uuid:50bf6da5-a63a-453d-817a-fbd7848cfc2e
46,1585980,1940,469.0,7.0,https://www.ndk.cz/view/uuid:cd3328b0-5821-11dd-b337-000d606f5dc6?page=uuid:b7eefdbf-ff26-4543-a517-edca3aede47f
47,1586053,1943,318.0,7.0,https://www.ndk.cz/view/uuid:6170d660-6f4e-11dd-99b7-000d606f5dc6?page=uuid:df4c50bf-cc90-47fa-b0d8-e1ed2d1eeea5
48,1586053,1943,318.0,7.0,https://www.ndk.cz/view/uuid:98d7e1c0-6f4e-11dd-9557-000d606f5dc6?page=uuid:09de805c-3abf-4001-9a47-bcba24d6c79b
