101,Q
001580118,35:513<7
001580120,35:605<3
001580121,35:656<7
001580159,9:251<1
001580160,9:75<3
001580164,38:133<9
001580165,38:140<7
001580170,19:353<2
001580171,18:38<1
001580173,19:334<3
001580174,28:140<10
001580175,18:323<1
001580176,17:217<1
001580183,47:222<4
001580184,47:239<7
001580185,47:242<3
001580186,47:249<5
001580187,2:123<2
001580188,47:287<2
001580189,47:287<3
001580190,47:305<2
001580191,47:322<2
001580192,47:348<2
001580193,47:372<2
001580194,47:460<2
001580195,47:507<7
001580196,47:517<2
001580197,47:541<5
001580198,47:541<1
001580199,47:551<7
001580200,47:597<2
001580201,47:601<7
001580210,48:493<3
001580211,38:588<10
001580212,38:600<2
001580218,38:607<1
001580252,47:157<4
001580254,47:22<2
001580255,47:78<2
001580256,47:63<5
001580257,47:165<3
001580275,47:626<6
001580281,19:354<17
001580282,18:353<97
001580286,18:353<97
001580306,18:179<1
001580307,18:83<2
001580319,48:573<5
001580321,48:233<7
001580322,48:296<7
001580323,48:27<7
001580335,41:561<9
001580336,41:176<9
001580341,29:476<7
001580356,41:518<10
001580366,36:175<2
001580376,38:577<5
001580381,41:213<11
001580393,41:33<9
001580394,41:78<10
001580395,41:81<9
001580400,41:83<7
001580430,28:622<9
001580432,18:295<2
001580434,39:414<9
001580495,20:324<6
001580496,46:357<7
001580497,46:393<9
001580498,46:509<1
001580502,46:4<3
001580503,46:53<5
001580504,44:45<10
001580534,36:606<7
001580541,47:91<10
001580542,45:312<2
001580543,45:294<3
001580544,41:591<10
001580545,37:327<19
001580546,36:610<9
001580547,36:573<18
001580564,42:472<2
001580565,28:185<9
001580593,49:73<4
001580597,39:451<9
001580598,39:451<9
001580612,43:653<2
001580654,47:157<4
001580717,52:342<4
001580748,36:286<7
001580749,36:254<9
001580781,43:565<9
001580804,38:66<9
001580805,38:163<9
001580821,35:579<7
001580823,36:608<7
001580827,38:477<10
001580837,48:195<7
001581036,9:24<3
001581039,9:35<1
001581115,44:638<5
001581118,35:500<7
001581158,1:62<3
001581226,35:658<10
001581234,38:25<9
001581235,38:33<9
001581241,39:488<9
001581243,41:578<9
001581244,41:587<9
001581245,42:630<9
001581247,2:212<3
001581259,47:543<10
001581287,45:250<3
001581336,29:491<7
001581383,44:587<2
001581384,45:181<5
001581388,47:284<7
001581421,34:526<2
001581444,47:139<3
001581445,47:150<2
001581446,47:72<2
001581539,19:63<2
001581540,45:140<7
001581541,49:287<7
001581542,45:370<3
001581562,36:227<7
001581575,47:27<4
001581683,47:610<2
001581718,9:173<3
001581733,47:302<6
001581814,41:120<2
001581815,41:401<3
001581816,44:637<5
001581822,43:571<1
001581824,46:61<7
001582162,36:89<7
001582164,37:624<9
001582165,38:374<7
001582166,39:553<9
001582167,40:181<10
001582168,43:237<9
001582169,43:297<7
001582170,46:100<7
001582188,35:100<7
001582205,38:359<9
001582223,36:216<7
001582224,36:74<7
001582226,39:401<9
001582227,37:303<7
001582228,43:358<9
001582230,41:621<9
001582231,44:500<9
001582326,38:31<9
001582328,46:304<7
001582361,29:328<7
001582362,35:594<7
001582377,36:364<7
001582389,48:574<3
001582515,41:470<4
001582516,43:1<2
001582690,35:259<9
001582691,35:383<7
001582692,35:491<7
001582693,38:96<7
001582694,38:379<7
001582695,47:59<7
001582696,46:4<7
001582697,47:359<7
001582730,43:625<9
001582818,35:656<7
001582819,36:302<7
001582822,39:318<9
001582823,41:615<10
001582825,43:20<7
001582828,43:608<9
001582830,44:358<9
001582831,44:61<9
001582833,46:621<7
001582834,46:322<7
001582836,48:313<9
001582841,47:579<7
001582845,36:345<7
001582869,46:304<7
001582871,47:202<8
001582882,37:381<9
001582883,46:239<7
001582890,9:65<2
001582913,19:320<1
001582979,39:227<7
001583095,19:29<1
001583096,19:36<1
001583101,52:161<4
001583109,45:112<9
001583110,46:387<7
001583187,28:549<9
001583192,45:609<7
001583193,48:98<7
001583194,48:138<9
001583196,48:233<7
001583215,9:85<2
001583216,9:252<4
001583217,9:112<1
001583319,45:385<385
001583320,40:118<9
001583323,37:405<7
001583325,47:555<10
001583329,43:468<9
001583330,43:174<9
001583331,43:544<9
001583333,46:418<9
001583336,46:288<7
001583340,35:172<7
001583342,38:330<1
001583344,18:203<1
001583348,42:43<9
001583352,46:13<9
001583353,2:115<3
001583354,48:120<7
001583355,48:311<7
001583363,28:156<9
001583364,28:452<5
001583365,28:635<9
001583395,36:52<8
001583396,36:212<7
001583397,36:334<9
001583398,37:655<7
001583399,38:250<7
001583400,39:418<9
001583401,41:213<11
001583402,41:362<7
001583403,41:18<9
001583405,43:207<9
001583406,43:42<7
001583407,44:241<9
001583408,45:186<9
001583409,45:195<2
001583410,45:410<7
001583411,46:20<7
001583412,46:423<7
001583413,47:35<7
001583414,47:419<7
001583415,42:175<9
001583419,47:617<2
001583426,47:645<9
001583441,35:107<5
001583477,46:594<7
001583524,48:313<9
001583525,46:24<7
001583526,47:651<7
001583527,46:464<7
001583528,48:72<7
001583649,28:136<10
001583765,46:288<7
001583825,45:523<7
001583846,18:127<1
001583847,24:234<1
001583848,24:351<1
001583908,38:200<5
001583933,46:592<7
001583934,46:327<7
001583935,38:467<9
001583936,35:126<7
001583958,24:54<2
001583959,25:32<2
001583961,38:55<9
001583962,41:652<9
001583963,41:48<9
001583964,43:48<9
001583965,44:332<9
001583966,45:264<7
001583967,45:349<7
001583968,48:285<7
001583973,9:15<6
001583978,44:82<9
001583979,44:343<9
001583980,46:8<7
001583981,46:385<7
001583982,39:490<9
001583990,38:503<9
001583991,47:513<7
001583992,47:346<7
001583993,42:188<10
001583994,48:87<9
001583995,48:38<7
001583996,48:7<7
001583997,48:370<7
001583998,48:283<7
001583999,48:141<7
001584004,39:535<9
001584009,43:612<10
001584051,42:539<7
001584059,36:612<9
001584088,43:142<12
001584170,19:287<2
001584180,39:533<10
001584289,44:651<3
001584291,44:653<2
001584292,45:34<9
001584293,45:62<9
001584294,47:81<2
001584318,43:79<9
001584319,43:455<9
001584333,45:45<7
001584349,39:643<9
001584352,47:37<2
001584371,38:37<1
001584419,38:271<5
001584430,46:33<7
001584446,38:26<2
001584451,17:7<4
001584458,30:423<7
001584461,35:100<7
001584463,34:340<7
001584468,41:618<1
001584469,38:170<7
001584475,41:322<9
001584480,35:22<7
001584484,39:542<7
001584499,19:115<1
001584525,29:575<7
001584541,42:95<7
001584543,33:541<7
001584546,35:515<7
001584547,35:459<7
001584548,35:373<7
001584549,35:50<7
001584573,44:651<7
001584574,38:21<9
001584601,47:374<2
001584610,1931:10<7
001584611,19:305<2
001584615,35:634<2
001584616,35:637<2
001584617,35:636<3
001584618,35:623<3
001584619,35:603<2
001584620,35:604<1
001584635,39:83<1
001584676,47:40<3
