Rok,Cislo,Strana,URL
1944,210,2,https://www.ndk.cz/view/uuid:dabf4900-7b67-11dd-bbeb-000d606f5dc6?page=uuid:4afb2b0e-a2a1-4195-b18d-1e393e2f2e00
1936,397,2,https://www.ndk.cz/view/uuid:611f8ff0-30c2-11dd-96b7-000d606f5dc6?page=uuid:79ba5ec2-4d76-4149-a444-b228d259008f
1936,360,6,https://www.ndk.cz/view/uuid:c4a61620-30d1-11dd-bbe1-000d606f5dc6?page=uuid:5be935f0-ff63-4df8-a33a-cfc21dd86471
1936,559,6,https://www.ndk.cz/view/uuid:d9f84ba0-333e-11dd-adf8-000d606f5dc6?page=uuid:9b0dd8a0-d605-4495-8faf-0692356a0f6e
1936,283,11,https://www.ndk.cz/view/uuid:789dcaf0-2f02-11dd-ade0-000d606f5dc6?page=uuid:f435096e-d3cb-4e67-affc-be00b016040a
1936,378,1,https://www.ndk.cz/view/uuid:f56fd490-30df-11dd-aefd-000d606f5dc6?page=uuid:9f5b31cc-dde9-47cb-af96-ff6dde262439
1936,407,10,https://www.ndk.cz/view/uuid:b9c27db0-30c3-11dd-845a-000d606f5dc6?page=uuid:862a201f-1077-4cfc-85cd-be26a45fb9c5
1936,392,1,https://www.ndk.cz/view/uuid:97673e10-30c1-11dd-8fe0-000d606f5dc6?page=uuid:d805faae-26a4-401c-8a54-4ff95cee8223
1936,646,14,https://www.ndk.cz/view/uuid:be554f00-3623-11dd-a44a-000d606f5dc6?page=uuid:e5a8ef78-99b3-4ae0-bc75-6c0a80bb8860
1936,220,4,https://www.ndk.cz/view/uuid:f63555d0-2e1e-11dd-b274-000d606f5dc6?page=uuid:8472236b-3528-49aa-ad90-ee2ba9702343
1936,253,4,https://www.ndk.cz/view/uuid:1814f5a0-2e49-11dd-9cc4-000d606f5dc6?page=uuid:8a67a6eb-7f54-4e1d-a6cc-fb114f280b7b
1935,214,9,https://www.ndk.cz/view/uuid:bd08fab0-2260-11dd-8c5e-000d606f5dc6?page=uuid:e94acf12-b7fe-4b2f-b65d-791a360f6b70
1936,599,7,https://www.ndk.cz/view/uuid:55de2830-3627-11dd-bcc6-000d606f5dc6?page=uuid:89f31a56-7434-4dba-b379-1706ad4b1e70
1936,456,4,https://www.ndk.cz/view/uuid:069d15a0-36c8-11dd-9e4e-000d606f5dc6?page=uuid:571e954c-dd76-4054-8c25-e7da364babdb
1936,274,7,https://www.ndk.cz/view/uuid:b0c36310-2e4c-11dd-bb35-000d606f5dc6?page=uuid:d559c33a-155e-4706-88d3-3eef4d008402
1936,332,9,https://www.ndk.cz/view/uuid:ec5d9f90-2e46-11dd-b94a-000d606f5dc6?page=uuid:44ca1dc2-f021-4740-944f-30008a82f904
1936,549,3,https://www.ndk.cz/view/uuid:31107780-333c-11dd-a91e-000d606f5dc6?page=uuid:4299604a-b917-4f57-83cd-7b0dc50fabe9
1935,1,5,https://www.ndk.cz/view/uuid:123bf0b0-1c5c-11dd-ab44-000d606f5dc6?page=uuid:9df8305a-ad1a-4686-b787-0ea720000d5c
1935,213,4,https://www.ndk.cz/view/uuid:3a798bd0-225d-11dd-8c72-000d606f5dc6?page=uuid:2f0eabc7-6e47-4319-af47-da6a183cd57a
1936,348,3,https://www.ndk.cz/view/uuid:b3461bb0-30d0-11dd-b7b6-000d606f5dc6?page=uuid:1088554e-d52f-429e-8fda-424fcc3437c4
1935,217,1,https://www.ndk.cz/view/uuid:f888c2a0-2260-11dd-b22f-000d606f5dc6?page=uuid:f51cb2a4-79fb-47ba-ac0e-e71d956dec82
1935,610,4,https://www.ndk.cz/view/uuid:3dfd1910-2696-11dd-8be5-000d606f5dc6?page=uuid:8611cefd-6354-4645-b2e8-7d06e7ac2a76
1936,523,4,https://www.ndk.cz/view/uuid:00291e70-3e30-11dd-bf79-000d606f5dc6?page=uuid:01e364c0-fe7f-422d-896e-994fe5686bea
1935,330,2,https://www.ndk.cz/view/uuid:2083a6b0-2344-11dd-b79e-000d606f5dc6?page=uuid:62bf561b-f99a-4447-8c13-20265a4051b9
1935,436,7,https://www.ndk.cz/view/uuid:01540260-2751-11dd-b10f-000d606f5dc6?page=uuid:79795856-69dc-435e-ab98-ef1bc3824458
1935,277,3,https://www.ndk.cz/view/uuid:469223f0-25af-11dd-a443-000d606f5dc6?page=uuid:a19eabfd-4596-422f-ab7c-1c556fc00435
1935,487,6,https://www.ndk.cz/view/uuid:b7093bb0-25ef-11dd-9329-000d606f5dc6?page=uuid:e0070856-1280-4a93-be66-1c0eded8a6ff
1935,481,10,https://www.ndk.cz/view/uuid:929c9d70-268b-11dd-923f-000d606f5dc6?page=uuid:edce130d-3c2d-412c-9d57-70bee84b0e09
1936,302,5,https://www.ndk.cz/view/uuid:f98b0620-30b3-11dd-a09d-000d606f5dc6?page=uuid:e320d4ff-23a6-472f-8ced-1caca59432a2
1936,552,7,https://www.ndk.cz/view/uuid:d9b22cd0-333c-11dd-99e2-000d606f5dc6?page=uuid:e3367be4-5c9e-4583-85a5-ebd6bba62c3f
1936,304,1,https://www.ndk.cz/view/uuid:b2c03390-30b4-11dd-bdc6-000d606f5dc6?page=uuid:06e1d534-be4d-427e-8dc2-62a1219b6a1c
1935,104,4,https://www.ndk.cz/view/uuid:29f4d850-20be-11dd-95eb-000d606f5dc6?page=uuid:a9fc29b9-f5db-4a17-b0d9-d47548389d73
1935,573,3,https://www.ndk.cz/view/uuid:56dfe2a0-2682-11dd-abc6-000d606f5dc6?page=uuid:4af3e0bf-ca6d-4a56-8a15-6a04007e227a
1935,386,5,https://www.ndk.cz/view/uuid:c6c7d850-2747-11dd-90d7-000d606f5dc6?page=uuid:fe14468c-cce6-46a0-b13a-0cd091b2808f
1936,452,7,https://www.ndk.cz/view/uuid:d53c3ef0-36c7-11dd-b448-000d606f5dc6?page=uuid:29410d5b-006a-4f59-b3b7-4817dc59c677
1936,558,4,https://www.ndk.cz/view/uuid:688be350-333e-11dd-9188-000d606f5dc6?page=uuid:1ee8d253-09dc-488d-bfed-59008527f701
1935,153,6,https://www.ndk.cz/view/uuid:6c2cfe70-1dbf-11dd-95cd-000d606f5dc6?page=uuid:71cd2b21-8fbd-44a8-b7cb-dccb822dfb62
1936,349,2,https://www.ndk.cz/view/uuid:c1c8b530-30d0-11dd-9036-000d606f5dc6?page=uuid:9f02d599-89b8-402c-b581-37b09bb0d6ba
1936,171,8,https://www.ndk.cz/view/uuid:2ca32ad0-2d74-11dd-ab7c-000d606f5dc6?page=uuid:201a9bd5-802a-46fb-9590-bdd6cea1a75a
